bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
268754,167598,text,721085,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/167598,https://www.congress.gov/112/bills/hr1/BILLS-112hr1ih.pdf
268754,358073,text,748489,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/358073,https://www.congress.gov/112/bills/hr1/BILLS-112hr1pcs.pdf
268754,672533,text,361045,application/pdf,Amended,https://legiscan.com/US/text/HB1/id/672533,https://www.congress.gov/112/bills/hr1/BILLS-112hr1eas.pdf
268754,192100,text,576771,application/pdf,Engrossed,https://legiscan.com/US/text/HB1/id/192100,https://www.congress.gov/112/bills/hr1/BILLS-112hr1eh.pdf
244857,363603,text,128044,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/363603,https://www.congress.gov/112/bills/hr2/BILLS-112hr2ih.pdf
244857,363604,text,161388,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/363604,https://www.congress.gov/112/bills/hr2/BILLS-112hr2pcs.pdf
244857,165657,text,110047,application/pdf,Engrossed,https://legiscan.com/US/text/HB2/id/165657,https://www.congress.gov/112/bills/hr2/BILLS-112hr2eh.pdf
244858,168437,text,139397,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/168437,https://www.congress.gov/112/bills/hr3/BILLS-112hr3ih.pdf
244858,358689,text,158014,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/358689,https://www.congress.gov/112/bills/hr3/BILLS-112hr3rh.pdf
244858,358690,text,189685,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/358690,https://www.congress.gov/112/bills/hr3/BILLS-112hr3pcs.pdf
244858,285268,text,171271,application/pdf,Engrossed,https://legiscan.com/US/text/HB3/id/285268,https://www.congress.gov/112/bills/hr3/BILLS-112hr3eh.pdf
244859,167656,text,129325,application/pdf,Introduced,https://legiscan.com/US/text/HB4/id/167656,https://www.congress.gov/112/bills/hr4/BILLS-112hr4ih.pdf
244859,360782,text,170957,application/pdf,Introduced,https://legiscan.com/US/text/HB4/id/360782,https://www.congress.gov/112/bills/hr4/BILLS-112hr4rh.pdf
244859,360783,text,167731,application/pdf,Introduced,https://legiscan.com/US/text/HB4/id/360783,https://www.congress.gov/112/bills/hr4/BILLS-112hr4pcs.pdf
244859,208255,text,153826,application/pdf,Engrossed,https://legiscan.com/US/text/HB4/id/208255,https://www.congress.gov/112/bills/hr4/BILLS-112hr4eh.pdf
244859,360784,text,121357,application/pdf,Enrolled,https://legiscan.com/US/text/HB4/id/360784,https://www.congress.gov/112/bills/hr4/BILLS-112hr4enr.pdf
244860,167642,text,202238,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/167642,https://www.congress.gov/112/bills/hr5/BILLS-112hr5ih.pdf
