people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8948,"Barney Frank",Barney,,Frank,,,1,D,1,Rep,HD-MA-4,1827967,26897,N00000275,Barney_Frank,158878,0
8950,"George Miller",George,,Miller,,,1,D,1,Rep,HD-CA-11,17658640,26734,N00007390,George_Miller_(California_U.S._House_member),158724,0
8952,"Charles Rangel",Charles,B.,Rangel,,,1,D,1,Rep,HD-NY-13,9654369,26979,N00000964,Charles_Rangel,158984,0
8954,"Edolphus Towns",Edolphus,,Towns,,,1,D,1,Rep,HD-NY-10,4531916,26973,N00001082,Ed_Towns,158979,0
8955,"Nydia Velazquez",Nydia,M.,Velazquez,,,1,D,1,Rep,HD-NY-7,17658223,26975,N00001102,Nydia_Velazquez,158981,0
8956,"Henry Waxman",Henry,A.,Waxman,,,1,D,1,Rep,HD-CA-33,17658644,26753,N00001861,Henry_Waxman,158746,0
8957,"Frank Pallone",Frank,,Pallone,Jr.,,1,D,1,Rep,HD-NJ-6,17658803,26951,N00000781,Frank_Pallone,158957,0
8959,"John Barrow",John,,Barrow,,,1,D,1,Rep,HD-GA-12,7003473,31780,N00026080,John_Barrow_(Georgia),226506,0
8961,"Bruce Braley",Bruce,L.,Braley,,,1,D,1,Rep,HD-IA-1,3519165,57382,N00027464,Bruce_Braley,248295,0
8962,"Lois Capps",Lois,,Capps,,,1,D,1,Rep,HD-CA-24,16563796,16886,N00007232,Lois_Capps,158739,0
8963,"Kathy Castor",Kathy,,Castor,,,1,D,1,Rep,HD-FL-14,170335,53825,N00027514,Kathy_Castor,248289,0
8964,"Gerald Connolly",Gerald,E.,Connolly,,Gerry,1,D,1,Rep,HD-VA-11,16577898,95078,N00029891,Gerald_Connolly,267105,0
8965,"Henry Cuellar",Henry,,Cuellar,,,1,D,1,Rep,HD-TX-28,6443275,5486,N00024978,Henry_Cuellar,199164,0
8967,"Diana DeGette",Diana,,DeGette,,,1,D,1,Rep,HD-CO-1,6006202,561,N00006134,Diana_DeGette,158770,0
