bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
216544,219847,2011-07-18,House,"On Motion to Suspend the Rules and Pass, as Amended",310,1,120,0,431
216716,216556,2012-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended",400,0,31,0,431
216716,220988,2012-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended",400,0,31,0,431
216780,218633,2011-11-18,House,"On Motion to Suspend the Rules and Pass, as Amended",261,165,8,0,434
216801,220546,2011-01-05,House,"On Motion to Table",223,188,20,0,431
216801,220547,2011-01-05,House,"On Ordering the Previous Question",236,188,7,0,431
216801,220548,2011-01-05,House,"On Motion to Commit",191,238,2,0,431
216801,220549,2011-01-05,House,"On Agreeing to the Resolution",238,191,2,0,431
216805,221230,2011-01-20,House,"On Agreeing to the Amendment",428,1,5,0,434
216805,221231,2011-01-20,House,"On Agreeing to the Resolution",253,175,6,0,434
216818,220757,2011-01-06,House,"On Motion to Suspend the Rules and Agree",408,13,11,0,432
216822,221393,2011-01-07,House,"On Agreeing to the Resolution",257,159,18,0,434
216835,216711,2011-01-27,Senate,"On the Resolution S.Res. 8",12,84,4,0,100
216837,216647,2011-01-27,Senate,"On the Resolution S.Res. 10",44,51,5,0,100
227166,220236,2011-01-18,House,"On Motion to Suspend the Rules and Pass, as Amended",399,0,35,0,434
244857,219601,2011-01-19,House,"On Motion to Recommit with Instructions",185,245,4,0,434
244857,219602,2011-01-19,House,"On Passage",245,189,1,0,435
244858,221418,2011-05-04,House,"On Motion to Recommit with Instructions",192,235,5,0,432
244858,221419,2011-05-04,House,"On Passage",251,175,6,0,432
244859,216256,2011-04-05,Senate,"On the Amendment S.Amdt. 284 to H.R. 4 (Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011)",41,58,1,0,100
244859,216257,2011-04-05,Senate,"On Passage of the Bill H.R. 4",87,12,1,0,100
244859,220057,2011-03-03,House,"On Motion to Table the Appeal of the Ruling of the Chair",243,181,8,0,432
244859,220058,2011-03-03,House,"On Passage",314,112,6,0,432
244860,216851,2012-03-22,House,"On Agreeing to the Amendment",234,173,24,0,431
244860,216852,2012-03-22,House,"On Agreeing to the Amendment",179,228,24,0,431
244860,216853,2012-03-22,House,"On Agreeing to the Amendment",251,157,23,0,431
244860,216854,2012-03-22,House,"On Motion to Recommit with Instructions",180,229,22,0,431
244860,216855,2012-03-22,House,"On Passage",223,181,27,0,431
244860,218811,2012-03-22,House,"On Agreeing to the Amendment",234,173,24,0,431
244860,218812,2012-03-22,House,"On Agreeing to the Amendment",179,228,24,0,431
244860,218813,2012-03-22,House,"On Agreeing to the Amendment",251,157,23,0,431
244860,218814,2012-03-22,House,"On Motion to Recommit with Instructions",180,229,22,0,431
244860,218815,2012-03-22,House,"On Passage",223,181,27,0,431
244861,218949,2011-12-07,House,"On Agreeing to the Amendment",187,236,10,0,433
244861,218950,2011-12-07,House,"On Agreeing to the Amendment",183,238,12,0,433
244861,218951,2011-12-07,House,"On Agreeing to the Amendment",177,246,10,0,433
244861,218952,2011-12-07,House,"On Agreeing to the Amendment",177,242,14,0,433
244861,218953,2011-12-07,House,"On Agreeing to the Amendment",183,240,10,0,433
244861,218954,2011-12-07,House,"On Motion to Recommit with Instructions",183,235,15,0,433
244861,218955,2011-12-07,House,"On Passage",241,184,8,0,433
244863,220074,2011-11-14,House,"On Motion to Suspend the Rules and Pass",391,0,42,0,433
244885,220432,2011-10-24,House,"On Motion to Suspend the Rules and Pass",392,1,40,0,433
244912,216745,2012-02-27,House,"On Motion to Suspend the Rules and Concur in the Senate Amendment",388,3,42,0,433
244912,221266,2011-02-28,House,"On Motion to Suspend the Rules and Pass, as Amended",399,3,30,0,432
244912,221267,2012-02-27,House,"On Motion to Suspend the Rules and Concur in the Senate Amendment",388,3,42,0,433
244923,222107,2011-10-13,House,"On Motion to Recommit with Instructions",173,249,11,0,433
244923,222108,2011-10-13,House,"On Passage",251,172,10,0,433
244924,222009,2011-01-26,House,"On Agreeing to the Amendment",396,7,31,0,434
244924,222010,2011-01-26,House,"On Motion to Recommit with Instructions",173,228,33,0,434
244924,222011,2011-01-26,House,"On Passage",239,160,35,0,434
244930,216102,2012-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended",394,1,36,0,431
244930,219562,2012-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended",394,1,36,0,431
244933,219695,2011-02-28,House,"On Motion to Suspend the Rules and Pass, as Amended",396,4,32,0,432
244959,219586,2011-02-28,House,"On Motion to Suspend the Rules and Pass, as Amended",402,0,30,0,432
244963,219870,2011-08-01,House,"On Motion to Suspend the Rules and Pass",426,0,6,0,432
